"ID","Description","IATA_CODE","FIVE_CODE"
365,"Avalon, CA: Camp Fox","QFX",14386
366,"Avalon, CA: Catalina","CIB",11001
367,"Avalon, CA: Catalina","CIB",10437
368,"Avalon, CA: Catalina","AVX",11001
369,"Avalon, CA: Catalina","AVX",10437
370,"Avarua, Cook Islands: Rarotonga International","RAR",14458
371,"Aviano, Italy: Aviano AB","AVB",10428
372,"Avignon, France: Avignon Caumont","AVN",10432
373,"Avon Park, FL: Avon Park Executive","AVO",10433
374,"Awar, Papua New Guinea: Awar Airport","AWR",10441
375,"Awasa, Ethiopia: Lake Awasa","AWA",10438
376,"Axum, Ethiopia: Axum Airport","AXU",10453
377,"Ayacucho, Peru: Coronel FAP Alfredo Mendivil Duarte","AYP",10457
378,"Ayakulik River, AK: Ayakulik River Airport","A28",10041
379,"Ayawasi, Indonesia: Ayawasi Airport","AYW",10462
380,"Ayers Rock, Australia: Ayers Rock Connellan","AYQ",10458
381,"Ayr, Australia: Ayr Airport","AYR",10459
382,"Azraq, Jordan: Al Shaheed Mwaffaq Salti Air Base","JO2",12525
383,"Azraq, Jordan: Azraq Highway Strip","JO3",12526
384,"Aztec, NM: Aztec Municipal","XWH",15941
385,"Babe Islands, AK: Babe Islands Airport","FQX",11757
386,"Babelegi, South Africa: Babelegi Heliport","HBL",12081
387,"Bacau, Romania: George Enescu Bacau International","BCM",10516
388,"Bacolod, Philippines: Bacolod Airport","BCD",16398
389,"Bacolod, Philippines: Bacolod Airport","BCD",10510
390,"Badajoz, Spain: Badajoz Airport","BJZ",10639
391,"Bade, Indonesia: Bade Airport","BXD",10829
392,"Badin, Pakistan: Talhar","BDN",10531
393,"Bagdad, AZ: Bagdad Airport","BGT",10583
394,"Bagdogra, India: Baghdogra","IXB",12417
395,"Bage, Brazil: Comandante Gustavo Kraemer","BGX",10586
396,"Baghdad, Iraq: Al Muthana","BGW",10585
397,"Baghdad, Iraq: Baghdad International","SDA",14727
398,"Baglung, Nepal: Baglung Airport","BGL",10576
399,"Bagram, Afghanistan: Bagram Airport","OAI",13794
400,"Baguio, Philippines: Baguio Airport","BAG",10479
401,"Bahawalpur, Pakistan: Bahawalpur International","BHV",10607
402,"Bahia Blanca, Argentina: Comandante Espora","BHI",10595
403,"Bahia de Los Angeles, Mexico: Bahia de Los Angeles North","BHL",10598
404,"Bahia de Pinas, Panama: Bahia de Pinas Airport","BFQ",10566
405,"Bahia Tortugas, Mexico: Bahia Tortugas Airport","WGG",15746
406,"Bahir Dar, Ethiopia: Bahir Dar Airport","BJR",10635
407,"Baia Mare, Romania: Baia Mare Airport","BAY",10492
408,"Baie Comeau, Canada: Baie Comeau Airport","YBC",16002
409,"Baie Johan Beetz, Canada: Baie Johan Beetz Airport","YBJ",16005
410,"Baikonour, Kazakhstan: Baikonour Airport","FVC",11799
411,"Bainbridge, GA: Decatur County Industrial Air Park","BGE",10573
412,"Bajura, Nepal: Bajura Airport","BJU",10636
413,"Bakel, Senegal: Bakel Airport","BXE",10830
414,"Bakelalan, Malaysia: Bakelalan Airport","BKM",10648
415,"Baker Island, AK: Baker AAF","BAR",10487
416,"Baker Island, Canada: Blackfish Lodge","B1C",16649
417,"Baker Lake, Canada: Baker Lake Airport","YBK",16006
418,"Baker, OR: Baker City Municipal","BKE",10641
419,"Bakersfield, CA: Bakersfield Municipal","C02",10858
420,"Bakersfield, CA: Meadows Field","BFL",10561
